종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
373200,"9,450","4,155",+0.81,+37.06,+20.19,+18.37,"18,927,000","1,183",그외 기타 제품 제조업,100,1892700000
152550,858,21,-4.42,-29.91,-40.97,"+1,647.32","70,020,000",272,신탁업 및 집합투자업,무액면,350100000000
222980,"6,150","4,035",-7.98,-16.37,-19.78,-22.85,"11,031,483",445,기타 식품 제조업,500,5515741500
331660,"15,500","10,850",+0.00,+0.00,+0.00,+35.96,"1,100,000",171,기타 화학제품 제조업,500,550000000
256840,"6,640","2,875",-17.96,+1.95,-19.43,-42.46,"67,912,443","2,126",기초 의약물질 및 생물학적 제제 제조업,100,6791244300
123890,"3,375","2,760",+2.70,+10.24,+11.00,+13.33,"123,977,752","4,004",신탁업 및 집합투자업,500,61988876000
101680,"5,820","2,165",-10.29,-36.36,-52.91,-19.79,"8,404,000",194,특수 목적용 기계 제조업,500,4202000000
436610,"2,095","1,473",+1.22,+0.73,+0.73,+38.44,"6,020,000",125,금융 지원 서비스업,100,602000000
458610,"2,520","2,045",+0.24,-,-,-,"4,230,000",88,금융 지원 서비스업,100,423000000
104700,"7,710","5,660",-2.18,+6.45,-8.47,+9.04,"42,450,000","2,662",1차 철강 제조업,1000,46050000000
161890,"58,100","34,150",+4.89,+13.44,+34.50,+56.73,"22,881,180","12,264",기타 화학제품 제조업,500,11440590000
161390,"41,900","30,800",-6.06,+1.78,+8.93,+5.83,"123,875,069","46,082",고무제품 제조업,500,61937534500
168490,"2,200","1,471",+1.69,-23.78,-29.91,-30.07,"80,020,000","1,200",신탁업 및 집합투자업,무액면,400100000000
448900,"13,010","8,700",+12.87,-,-,-,"3,861,000",501,자동차 신품 부품 제조업,500,1930500000
123690,"11,370","5,200",-18.71,+15.86,-8.92,+5.93,"16,068,000","1,033",생활용품 도매업,500,8034000000
256150,"9,320","6,910",-6.87,-14.16,-12.20,-17.34,"8,395,000",580,일반 목적용 기계 제조업,500,4197500000
128940,"335,500","246,012",-7.69,-0.90,-11.82,+13.09,"12,562,158","34,672",의약품 제조업,2500,31405395000
