,회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
110,CJ CGV,00303873,079160,2022,B+,"3,601,468,386,488","3,208,379,045,793","-76,765,794,985","-237,643,036,305"
111,현대리바트,00300548,079430,2022,A,"854,159,330,447","415,626,223,927","-27,895,323,942","-65,968,450,334"
112,LIG넥스원,00503668,079550,2022,A,"3,012,727,223,129","2,077,548,155,320","179,111,737,872","157,771,953,695"
113,휴비스,00362238,079980,2022,B+,"793,759,627,507","412,487,679,943","-83,009,289,041","-102,207,246,216"
114,휠라홀딩스,00195229,081660,2022,B+,"4,821,801,377,788","2,247,238,042,986","435,072,372,234","453,137,117,071"
115,HSD엔진,00361008,082740,2022,B+,"956,230,294,638","734,604,466,698","-29,534,217,363","-38,668,626,357"
116,대상홀딩스,00539274,084690,2022,B+,"4,015,327,448,810","2,460,226,574,943","143,809,242,039","118,845,988,072"
117,현대글로비스,00360595,086280,2022,A,"13,877,784,500,296","6,998,172,212,338","1,798,516,596,130","1,597,421,189,524"
118,노루페인트,00583442,090350,2022,A,"668,177,302,153","315,503,885,865","26,100,359,244","17,779,741,850"
119,아모레퍼시픽,00583424,090430,2022,A,"5,801,783,178,159","1,022,508,074,100","214,233,255,761","224,493,769,169"
120,CJ제일제당,00635134,097950,2022,A,"30,013,241,845,000","18,484,219,204,000","1,664,708,210,000","1,245,523,117,000"
121,LX하우시스,00759513,108670,2022,A,"2,483,729,000,000","1,703,786,000,000","14,940,000,000","-105,943,000,000"
122,코오롱인더,00795135,120110,2022,B+,"6,003,463,015,992","3,270,361,413,054","242,496,098,882","169,697,570,795"
123,한미약품,00828497,128940,2022,B+,"1,924,585,730,838","915,359,048,755","158,090,311,455","121,012,526,736"
124,이마트,00872984,139480,2022,A,"33,201,721,508,714","19,718,359,591,026","135,651,681,895","1,252,483,876,283"
125,삼양사,00896285,145990,2022,B+,"2,949,649,000,000","1,418,659,000,000","82,016,000,000","97,281,000,000"
126,동아에스티,00956930,170900,2022,A,"1,157,724,933,604","467,613,930,767","16,672,741,081","17,516,003,132"
127,한진칼,00983040,180640,2022,A,"3,915,077,621,174","1,339,020,434,490","14,487,192,387","438,303,692,552"
128,종근당,00992871,185750,2022,B+,"1,124,882,797,791","503,593,995,766","109,906,061,531","97,165,066,944"
129,코스맥스,01009789,192820,2022,B,"1,396,450,504,662","952,203,952,001","53,100,853,848","6,169,680,858"
130,해성디에스,01032413,195870,2022,B+,"659,613,821,545","212,318,527,504","204,416,060,360","205,309,781,207"
131,서연이화,01036446,200880,2022,B+,"1,930,332,276,171","1,173,445,901,645","150,682,128,141","116,258,303,926"
132,삼성바이오로직스,00877059,207940,2022,A,"16,582,050,258,486","7,597,575,863,329","983,627,394,377","1,009,024,573,715"
133,SK디앤디,00508344,210980,2022,A,"2,191,576,214,447","1,494,509,955,164","64,346,246,785","113,722,926,342"
134,한솔제지,01060744,213500,2022,B+,"2,210,015,517,155","1,467,471,503,690","130,225,532,966","95,828,130,869"
135,이노션,00565154,214320,2022,B+,"2,290,142,554,591","1,416,175,662,135","136,891,845,495","142,921,691,148"
136,일동제약,01168383,249420,2022,B,"655,810,213,933","457,585,976,912","-73,481,142,189","-119,823,395,577"
137,경동도시가스,01208885,267290,2022,B,"1,067,615,033,035","672,626,336,234","25,271,267,744","31,034,292,001"
138,오리온,01238169,271560,2022,A,"3,371,683,914,220","732,455,081,520","466,654,503,027","486,728,116,441"
139,한화시스템,00339391,272210,2022,A,"3,945,627,700,263","1,926,675,685,540","24,022,201,122","-57,019,441,190"
140,BGF리테일,01263022,282330,2022,A,"2,946,235,271,626","1,983,607,627,851","252,407,573,570","254,068,774,008"
141,SK케미칼,01267170,285130,2022,A+,"3,945,682,879,744","1,236,777,050,588","230,480,673,367","236,700,717,561"
142,롯데정보통신,01262032,286940,2022,A,"871,931,521,611","417,980,301,556","34,251,438,232","36,254,944,453"
143,효성화학,01316236,298000,2022,A,"3,131,118,899,043","3,016,501,814,422","-336,727,239,866","-448,250,891,421"
144,효성티앤씨,01316227,298020,2022,A,"4,319,879,312,472","2,804,355,654,281","123,593,507,716","30,658,603,776"
145,효성중공업,01316245,298040,2022,A,"4,693,470,608,273","3,590,259,543,651","143,248,629,974","59,841,661,132"
146,효성첨단소재,01316254,298050,2022,A,"2,934,713,477,994","2,135,155,968,289","315,070,313,327","213,162,004,331"
147,현대오토에버,00362441,307950,2022,B+,"2,619,436,326,622","1,129,055,501,093","142,362,193,871","154,786,545,251"
148,하림지주,00148364,003380,2022,C,"13,268,988,298,801","8,209,604,806,659","941,306,774,707","616,005,224,415"
149,CJ ENM,00265324,035760,2022,B+,"10,332,246,645,583","5,987,918,870,682","137,375,904,912","-327,580,418,493"
150,케이티알파,00260958,036030,2022,B+,"407,835,297,144","176,685,884,361","15,223,887,429","9,894,682,747"
151,현대에버다임,00228536,041440,2022,A,"292,346,827,519","113,418,150,237","15,696,393,563","15,686,285,793"
152,CJ프레시웨이,00127954,051500,2022,A,"1,484,726,893,096","1,080,671,194,761","97,840,086,516","68,875,818,033"
153,현대바이오랜드,00347062,052260,2022,A,"176,097,325,723","46,810,705,161","9,054,708,903","6,844,226,328"
154,에스티팜,00871833,237690,2022,B+,"578,679,154,922","229,549,274,594","17,851,415,161","19,237,033,364"
155,삼양홀딩스,00126937,000070,2022,B+,"4,547,781,000,000","2,024,270,000,000","132,324,000,000","126,664,000,000"
156,하이트진로,00150244,000080,2022,B,"3,333,438,311,387","2,172,409,936,540","190,571,249,139","121,380,678,145"
157,유한양행,00145109,000100,2022,B+,"2,472,728,072,149","464,921,702,703","36,028,967,211","94,926,373,488"
158,하이트진로홀딩스,00148993,000140,2022,B,"3,945,000,964,667","2,779,584,712,819","202,502,517,207","110,076,574,030"
159,삼화페인트공업,00129387,000390,2022,B,"587,186,274,133","287,461,316,451","19,854,394,322","10,671,560,929"
160,대동,00109286,000490,2022,D,"1,713,773,205,581","1,241,782,449,283","88,279,120,517","57,555,933,360"
161,가온전선,00104768,000500,2022,B,"752,332,445,010","449,261,889,191","28,462,568,691","13,296,874,869"
162,유수홀딩스,00163691,000700,2022,B+,"524,926,064,872","79,255,169,817","29,646,246,718","43,546,308,479"
163,동국제강,00114792,001230,2022,B,"6,451,247,796,882","3,164,636,526,811","743,493,091,943","547,679,373,077"
164,GS글로벌,00138190,001250,2022,B+,"1,419,412,958,453","1,012,698,524,738","70,467,603,982","61,122,260,907"
165,종근당홀딩스,00149354,001630,2022,B+,"1,376,372,969,554","577,829,023,460","-32,878,294,931","-24,708,272,309"
166,DL건설,00128971,001880,2022,A,"1,746,816,807,975","748,120,988,544","81,072,831,792","84,339,671,528"
167,아세아,00138701,002030,2022,B+,"3,182,375,948,080","1,317,598,873,795","232,577,852,131","210,386,129,580"
168,도화엔지니어링,00114552,002150,2022,C,"522,590,275,567","255,273,456,899","11,939,896,822","2,914,383,294"
169,고려제강,00103006,002240,2022,D,"2,532,768,398,255","805,246,239,566","133,503,465,388","112,085,847,739"
170,넥센타이어,00173874,002350,2022,B+,"3,944,336,739,608","2,348,104,911,877","-54,253,533,449","-40,312,984,401"
171,케이씨씨,00105271,002380,2022,A,"13,118,486,307,658","7,567,347,802,320","467,661,528,938","111,953,952,629"
172,SUN&L,00132211,002820,2022,C,"524,434,319,704","373,988,182,288","-17,708,726,754","-17,208,554,984"
173,세아제강지주,00124197,003030,2022,B,"3,572,067,658,664","1,591,270,344,983","567,163,868,807","531,476,493,894"
174,일신방직,00146269,003200,2022,D,"1,176,745,986,062","272,298,156,963","-16,000,918,451","161,202,685,885"
175,태광산업,00153393,003240,2022,D,"4,910,005,420,529","702,185,269,043","-122,074,282,364","-45,552,759,314"
176,한일홀딩스,00162993,003300,2022,C,"3,268,041,346,024","1,220,879,131,264","132,506,014,100","127,641,079,488"
177,영진약품,00141149,003520,2022,B+,"203,082,817,375","113,212,626,317","-7,363,158,868","-22,812,771,530"
178,대한화섬,00113544,003830,2022,C,"836,764,531,649","122,779,864,954","6,382,961,691","23,763,677,403"
179,남양유업,00107598,003920,2022,C,"902,259,070,497","164,307,809,198","-86,806,775,040","-97,220,020,759"
180,사조대림,00109718,003960,2022,C,"1,168,252,667,285","564,420,178,134","97,652,234,741","85,136,003,481"
181,한국석유공업,00157991,004090,2022,B,"347,065,524,190","183,328,538,761","17,997,729,590","13,889,493,769"
182,농심,00108241,004370,2022,C,"3,034,718,535,547","719,378,356,883","112,172,856,716","158,840,599,107"
183,삼익THK,00127802,004380,2022,C,"444,027,583,867","233,318,683,388","20,638,429,209","19,693,674,216"
184,서울식품공업,00130879,004410,2022,D,"70,853,362,024","42,534,581,355","1,310,279,754","841,772,580"
185,삼천리,00128555,004690,2022,C,"5,021,952,466,150","3,482,673,623,260","91,236,419,550","93,637,749,746"
186,DRB동일,00118266,004840,2022,C,"945,238,494,728","465,469,810,224","12,110,321,241","9,110,890,625"
187,성신양회,00132804,004980,2022,C,"1,187,583,002,030","791,369,380,223","1,833,600,738","-26,120,978,097"
188,SGC에너지,00125150,005090,2022,B+,"3,054,362,176,494","2,187,874,937,878","209,400,218,379","198,427,676,801"
189,녹십자홀딩스,00108135,005250,2022,B+,"3,592,060,734,923","1,625,017,215,651","71,159,596,357","29,629,471,910"
190,SPC삼립,00125530,005610,2022,B,"1,295,399,585,606","906,290,707,171","89,513,471,496","70,782,876,250"
191,넥센,00167192,005720,2022,B+,"4,726,896,214,044","2,595,712,644,048","-22,542,977,056","-3,114,497,630"
192,에스엘,00125521,005850,2022,B+,"2,931,636,940,305","1,225,627,791,292","197,915,409,993","215,698,969,074"
193,삼성전자,00126380,005930,2022,A,"448,424,507,000,000","93,674,903,000,000","43,376,630,000,000","46,440,474,000,000"
194,화승인더스트리,00166227,006060,2022,C,"1,779,489,488,972","1,119,839,945,881","73,297,899,437","20,390,231,128"
195,녹십자,00129679,006280,2022,B+,"2,525,537,081,269","958,895,150,180","81,263,665,843","85,727,859,933"
196,한일현대시멘트,00164672,006390,2022,B+,"649,126,013,507","285,245,441,672","35,168,293,521","44,443,694,696"
197,AK홀딩스,00125080,006840,2022,B+,"5,004,334,961,394","3,721,996,781,791","-21,822,473,627","-120,183,179,682"
198,사조산업,00124799,007160,2022,C,"1,166,611,978,191","523,375,978,943","55,173,554,439","76,973,016,074"
199,이수페타시스,00107613,007660,2022,C,"546,014,160,739","323,686,082,261","116,618,143,622","107,829,664,836"
200,F&F 홀딩스,00126487,007700,2022,B,"3,595,118,444,613","706,086,461,437","486,231,560,356","580,405,942,635"
201,서연,00163114,007860,2022,B+,"2,323,543,346,933","1,319,636,711,049","188,572,721,382","157,391,284,290"
202,한솔로지스틱스,00140946,009180,2022,B+,"274,496,248,985","171,990,567,169","36,349,586,827","30,450,141,909"
203,태영건설,00153861,009410,2022,B+,"4,323,308,266,498","3,582,445,702,772","91,547,554,846","76,027,336,617"
204,경동나비엔,00101488,009450,2022,C,"1,018,019,428,372","500,314,843,682","59,770,841,498","72,724,310,765"
205,삼성중공업,00126478,010140,2022,B+,"14,491,697,984,864","10,919,760,587,958","-854,420,950,816","-554,711,265,360"
206,화신,00166315,010690,2022,C,"1,004,620,994,499","647,757,403,677","87,362,958,755","95,109,032,046"
207,아이에스동서,00115977,010780,2022,B+,"3,737,786,456,047","2,131,652,333,747","345,076,330,100","285,969,297,618"
208,금호석유화학,00106368,011780,2022,A,"7,719,272,223,622","2,065,857,046,026","1,147,745,512,728","1,251,576,092,191"
209,계양전기,00102618,012200,2022,C,"297,554,555,403","169,633,025,975","-10,631,134,052","-29,426,360,818"
210,경동인베스트,00143527,012320,2022,C,"586,813,597,619","136,105,199,735","14,709,420,695","16,108,052,906"
211,HDC,00164636,012630,2022,C,"11,592,341,237,983","6,759,502,438,861","158,535,478,442","133,502,475,796"
212,화승코퍼레이션,00166272,013520,2022,C,"1,177,218,098,360","926,620,108,676","43,168,338,185","31,765,330,189"
213,유니드,00159786,014830,2022,B,"1,489,264,677,517","587,712,511,772","147,870,643,696","141,266,703,137"
214,예스코홀딩스,00105101,015360,2022,B,"1,491,393,801,000","971,855,140,000","313,224,000","-6,857,913,000"
215,한국전력공사,00159193,015760,2022,B,"234,804,994,000,000","192,804,738,000,000","-32,655,153,000,000","-33,843,619,000,000"
216,서울도시가스,00130684,017390,2022,C,"1,871,342,447,045","818,373,686,144","3,324,640,638","22,506,025,659"
217,E1,00165583,017940,2022,B+,"4,339,655,185,507","2,829,299,481,251","278,730,692,433","193,801,839,282"
218,한국카본,00159795,017960,2022,C,"585,333,635,410","181,165,801,047","24,798,059,067","28,900,101,934"
219,한온시스템,00161125,018880,2022,B,"9,098,783,327,544","6,728,917,210,972","256,590,023,453","97,168,085,854"
220,세아특수강,00133991,019440,2022,B+,"690,192,115,483","340,157,547,667","28,815,275,301","23,259,060,558"
221,대교,00108913,019680,2022,B,"666,723,788,672","262,333,648,796","-49,959,384,890","-107,697,076,412"
222,다우기술,00176914,023590,2022,C,"49,260,008,742,513","44,071,595,509,884","718,687,487,393","744,926,029,245"
223,한국콜마홀딩스,00203290,024720,2022,B+,"1,269,102,053,314","418,764,073,414","33,000,195,009","36,396,108,049"
224,팬오션,00122737,028670,2022,B,"7,548,942,000,000","3,056,338,000,000","789,618,000,000","687,967,000,000"
225,제일기획,00148276,030000,2022,A,"2,751,445,128,079","1,530,015,562,245","311,412,761,580","300,435,028,812"
226,LG디스플레이,00105873,034220,2022,A,"35,686,019,000,000","24,366,792,000,000","-2,085,047,000,000","-3,433,370,000,000"
227,신세계건설,00217947,034300,2022,B+,"1,035,610,953,877","751,891,779,268","-12,042,239,735","-17,714,387,020"
228,NICE,00158316,034310,2022,B+,"3,378,563,521,222","2,058,288,743,565","145,242,618,665","107,785,938,003"
229,신세계I&C,00219486,035510,2022,B+,"482,934,079,721","118,998,739,571","37,528,514,949","107,260,459,434"
230,한국가스공사,00261285,036460,2022,B+,"62,424,983,096,053","52,014,242,784,013","2,463,421,952,045","1,945,247,668,119"
231,SNT홀딩스,00225159,036530,2022,C,"2,558,426,986,621","742,131,375,499","144,692,982,304","166,935,921,690"
232,LG헬로비전,00222532,037560,2022,A,"1,428,013,437,283","802,491,626,000","53,800,859,859","-13,650,566,674"
233,코스맥스비티아이,00219574,044820,2022,B+,"936,136,657,462","610,374,632,435","3,400,294,229","-7,980,653,661"
234,동원F&B,00340917,049770,2022,B,"2,071,710,810,838","1,187,905,520,148","128,699,824,345","118,562,121,878"
235,LG화학,00356361,051910,2022,B,"67,973,823,000,000","30,492,696,000,000","2,995,698,000,000","2,812,551,000,000"
236,한전기술,00159209,052690,2022,B+,"816,503,301,678","273,089,488,378","13,940,025,562","25,735,584,512"
