0,y,prev_y
011790,"6,393,092,564,908","6,180,132,503,610"
018670,"5,831,776,891,571","5,121,535,471,833"
001740,"9,499,259,000,000","9,410,916,000,000"
006120,"11,780,098,492,498","6,881,873,214,685"
210980,"2,191,576,214,447","1,983,430,768,039"
068400,"3,341,970,518,606","2,860,204,475,518"
302440,"2,141,931,383,550","2,110,122,672,078"
402340,0,0
361610,"3,497,335,365,000","3,184,524,107,000"
100090,"1,220,003,934,152","739,392,190,185"
096770,"67,218,924,277,000","49,544,942,070,000"
001510,0,0
285130,"3,945,682,879,744","3,955,632,394,256"
017670,"31,308,262,000,000","30,911,277,000,000"
000660,"103,871,512,000,000","96,346,525,000,000"
003570,"930,994,305,130","879,625,081,379"
064960,"1,225,486,689,781","1,149,796,359,145"
100840,"429,772,701,838","332,143,487,939"
036530,"2,558,426,986,621","2,372,324,440,132"
005610,"1,295,399,585,606","1,222,983,111,086"
011810,"741,784,000,000","676,149,000,000"
077970,"853,388,000,000","837,480,000,000"
071970,"416,290,993,852","430,406,730,156"
002820,"524,434,319,704","566,176,956,589"
002710,"507,482,316,790","366,996,614,848"
002900,"782,128,426,554","707,428,247,565"
024070,"128,503,266,423","135,283,853,674"
037270,"241,371,893,905","223,117,829,736"
000500,"752,332,445,010","658,966,428,816"
000860,"957,791,314,832","904,010,952,337"
035250,"4,167,752,670,696","3,827,273,463,677"
094480,"337,965,414,787","316,916,029,802"
011420,"57,863,011,528","40,900,713,401"
192520,0,0
002100,"448,632,689,252","388,785,779,466"
009450,"1,018,019,428,372","933,884,528,777"
267290,"1,067,615,033,035","904,491,765,792"
012320,"586,813,597,619","577,693,061,246"
000050,"1,248,318,313,535","1,270,805,118,229"
214390,"240,544,942,124","236,979,153,344"
012610,"548,252,999,063","579,492,465,098"
009140,"68,385,030,301","65,884,752,780"
013580,"2,560,028,661,008","2,327,054,067,482"
012200,"297,554,555,403","285,053,130,217"
002140,"274,703,527,826","238,594,901,035"
010130,"12,097,918,358,974","9,964,048,634,649"
002240,"2,532,768,398,255","2,474,272,367,565"
098460,"391,686,493,023","368,329,267,167"
215000,"589,527,894,611","483,601,164,477"
