회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
삼성물산,149655,28260,2022,A,"58,981,492,466,950","27,017,371,086,433","2,528,524,413,589","3,334,546,525,257"
신세계인터내셔날,234412,31430,2022,B+,"1,278,681,814,634","445,005,786,973","115,270,511,523","136,726,798,870"
신세계푸드,274933,31440,2022,B,"903,927,240,057","611,858,315,900","20,577,349,768","-4,859,422,816"
LG유플러스,231363,32640,2022,A,"19,774,800,000,000","11,325,133,000,000","1,081,260,000,000","856,812,000,000"
케이티앤지,244455,33780,2022,A,"12,301,715,783,797","2,943,135,752,405","1,267,649,967,727","1,429,519,571,832"
강원랜드,255619,35250,2022,A,"4,167,752,670,696","752,374,769,957","217,565,214,200","167,851,826,370"
카카오,258801,35720,2022,A,"22,963,491,575,614","9,431,629,284,734","580,315,993,061","1,304,363,372,795"
엔씨소프트,261443,36570,2022,A,"4,437,632,450,781","1,239,083,608,249","559,006,120,606","609,050,943,296"
팜스코,260408,36580,2022,B,"1,223,174,230,326","945,322,533,351","18,799,101,788","-37,585,486,981"
광주신세계,220561,37710,2022,B+,"913,454,051,041","123,544,314,603","65,584,851,127","76,860,199,739"
KSS해운,160232,44450,2022,B+,"1,659,172,643,001","1,252,892,414,726","69,511,091,603","46,647,231,356"
대우건설,124540,47040,2022,B+,"11,140,353,752,210","7,415,736,590,714","760,006,514,642","713,497,588,646"
한국항공우주,309503,47810,2022,B,"7,772,406,693,424","6,319,189,867,558","141,617,667,318","122,121,929,956"
LG생활건강,356370,51900,2022,A,"7,302,929,652,203","1,834,093,663,954","711,122,934,369","417,769,360,752"
케이티스카이라이프,349097,53210,2022,A,"1,361,298,311,421","503,764,190,486","63,195,741,120","33,430,748,587"
한미글로벌,413523,53690,2022,B+,"373,059,659,521","178,412,243,082","30,651,133,401","32,693,557,928"
현대홈쇼핑,412597,57050,2022,A,"2,782,027,992,185","823,288,672,056","110,640,961,829","96,757,694,526"
