,corp_name,esg,fin_state,corp_code,stock_code,year
275,NICE평가정보,B+,"368,803,630,914",00158325,030190,2020
276,주성엔지니어링,B+,"549,203,147,652",00252135,036930,2020
277,지니뮤직,B+,"250,537,976,853",00223762,043610,2020
278,서울반도체,B+,"1,330,157,955,644",00130763,046890,2020
279,안랩,B+,"280,831,434,651",00298270,053800,2020
280,에스에프에이,B+,"1,799,395,626,291",00358271,056190,2020
281,엘앤에프,B+,"466,217,399,194",00398701,066970,2020
282,아이티엠반도체,B+,"436,355,434,000",00579980,084850,2020
283,에코프로,B+,"1,283,164,844,739",00536541,086520,2020
284,나스미디어,B+,"422,038,863,816",00486097,089600,2020
285,비에이치,B+,"561,120,408,493",00447609,090460,2020
286,셀트리온헬스케어,B+,"3,739,698,458,262",00554024,091990,2020
287,고영,B+,"302,574,460,896",00579999,098460,2020
288,LX세미콘,B+,"750,602,338,873",00525934,108320,2020
289,하림,B+,"806,508,850,011",00857727,136480,2020
290,케어젠,B+,"216,556,145,567",00549891,214370,2020
291,원익IPS,B+,"1,099,641,462,981",01135941,240810,2020
292,매일유업,B+,"744,816,661,761",01234507,267980,2020
293,동화약품,B,"433,807,800,192",00119195,000020,2020
294,유유제약,B,"154,901,006,984",00144818,000220,2020
295,대원강업,B,"1,017,866,946,915",00111847,000430,2020
296,조선내화,B,"1,246,277,915,624",00148984,000480,2020
297,삼일제약,B,"191,660,926,981",00128032,000520,2020
298,CS홀딩스,B,"323,725,567,844",00149026,000590,2020
299,천일고속,B,"67,019,917,354",00151395,000650,2020
300,화천기공,B,"378,376,164,732",00166519,000850,2020
301,강남제비스코,B,"712,155,828,911",00100939,000860,2020
302,유니온,B,"354,433,760,157",00144252,000910,2020
303,페이퍼코리아,B,"508,899,950,809",00134723,001020,2020
304,JW중외제약,B,"549,085,028,575",00149947,001060,2020
305,대한제분,B,"1,084,880,807,803",00113243,001130,2020
306,금호전기,B,"67,783,031,106",00106395,001210,2020
307,백광산업,B,"322,745,474,988",00122472,001340,2020
308,BYC,B,"679,134,863,796",00122579,001460,2020
309,대한제당,B,"1,146,241,857,000",00113234,001790,2020
310,KISCO홀딩스,B,"1,564,589,806,575",00159740,001940,2020
311,코오롱,B,"3,708,134,498,932",00152862,002020,2020
312,경농,B,"371,525,656,350",00101433,002100,2020
313,삼양통상,B,"422,110,653,043",00127042,002170,2020
314,한국수출포장공업,B,"309,083,508,720",00158112,002200,2020
315,아세아제지,B,"882,326,924,993",00138729,002310,2020
316,SH에너지화학,B,"117,356,594,102",00136457,002360,2020
317,화성산업,B,"580,483,863,943",00174527,002460,2020
318,제일파마홀딩스,B,"887,395,067,308",00148443,002620,2020
319,TCC스틸,B,"306,758,931,554",00117300,002710,2020
320,국제약품,B,"145,625,551,890",00104722,002720,2020
321,삼영무역,B,"533,231,525,031",00127167,002810,2020
322,한국쉘석유,B,"148,607,730,718",00158149,002960,2020
323,혜인,B,"207,882,894,058",00165343,003010,2020
324,코오롱글로벌,B,"2,469,880,906,724",00152880,003070,2020
325,성보화학,B,"159,209,819,595",00132725,003080,2020
326,대웅,B,"1,833,668,773,483",00111810,003090,2020
327,디아이,B,"228,890,877,783",00118275,003160,2020
