corp_name,esg,fin_state,corp_code,stock_code
종근당홀딩스,B+,"1,258,451,805,996",00149354,001630
DL건설,B+,"1,498,377,650,002",00128971,001880
아세아,B+,"2,887,531,023,613",00138701,002030
도화엔지니어링,B+,"451,680,724,368",00114552,002150
고려제강,B+,"2,245,729,071,452",00103006,002240
넥센타이어,B+,"3,541,080,327,475",00173874,002350
케이씨씨,B+,"12,347,572,328,146",00105271,002380
SUN&L,B+,"528,379,078,958",00132211,002820
세아제강지주,B+,"2,315,558,156,681",00124197,003030
일신방직,B+,"964,200,062,868",00146269,003200
태광산업,B+,"4,060,159,775,974",00153393,003240
한일홀딩스,B+,"3,320,136,775,690",00162993,003300
영진약품,B+,"188,100,729,627",00141149,003520
대한화섬,B+,"722,306,185,177",00113544,003830
남양유업,B+,"1,001,076,160,250",00107598,003920
사조대림,B+,"1,119,656,484,623",00109718,003960
한국석유공업,B+,"316,488,296,609",00157991,004090
농심,B+,"2,725,528,184,628",00108241,004370
삼익THK,B+,"387,615,059,772",00127802,004380
서울식품공업,B+,"74,752,324,859",00130879,004410
삼천리,B+,"3,859,947,627,781",00128555,004690
DRB동일,B+,"776,434,763,082",00118266,004840
성신양회,B+,"1,090,267,313,338",00132804,004980
SGC에너지,B+,"2,675,392,823,996",00125150,005090
녹십자홀딩스,B+,"3,241,202,077,382",00108135,005250
SPC삼립,B+,"1,181,871,545,430",00125530,005610
넥센,B+,"4,239,211,984,013",00167192,005720
에스엘,B+,"2,338,956,946,126",00125521,005850
삼성전자,B+,"378,235,718,000,000",00126380,005930
화승인더스트리,B+,"1,433,482,293,572",00166227,006060
녹십자,B+,"2,151,399,593,550",00129679,006280
한일현대시멘트,B+,"562,929,272,004",00164672,006390
AK홀딩스,B+,"4,152,091,609,064",00125080,006840
사조산업,B+,"1,087,398,591,007",00124799,007160
이수페타시스,B+,"389,384,712,550",00107613,007660
F&F 홀딩스,B+,"817,829,021,444",00126487,007700
서연,B+,"2,151,012,180,055",00163114,007860
한솔로지스틱스,B+,"195,971,591,246",00140946,009180
태영건설,B+,"3,798,270,930,253",00153861,009410
경동나비엔,B+,"734,688,738,144",00101488,009450
삼성중공업,B+,"12,922,170,785,868",00126478,010140
화신,B+,"822,660,475,416",00166315,010690
아이에스동서,B+,"3,621,499,079,699",00115977,010780
금호석유화학,B+,"5,027,282,217,052",00106368,011780
계양전기,B+,"294,209,839,079",00102618,012200
경동인베스트,B+,"589,277,834,910",00143527,012320
HDC,B+,"9,617,140,797,332",00164636,012630
화승코퍼레이션,B+,"1,210,430,207,497",00166272,013520
유니드,B+,"1,120,794,922,952",00159786,014830
예스코홀딩스,B+,"1,564,088,965,000",00105101,015360
한국전력공사,B+,"203,143,324,000,000",00159193,015760
서울도시가스,B+,"1,689,713,125,758",00130684,017390
E1,B+,"3,731,448,422,489",00165583,017940
한국카본,B+,"478,319,470,904",00159795,017960
한온시스템,B+,"7,807,411,034,423",00161125,018880
세아특수강,B+,"552,376,575,225",00133991,019440
대교,B+,"845,161,976,169",00108913,019680
다우기술,B+,"38,622,232,829,692",00176914,023590
한국콜마홀딩스,B+,"1,218,505,783,282",00203290,024720
팬오션,B+,"4,659,327,000,000",00122737,028670
제일기획,B+,"2,242,463,952,194",00148276,030000
LG디스플레이,B+,"35,066,012,000,000",00105873,034220
신세계건설,B+,"765,614,223,582",00217947,034300
NICE,B+,"2,730,355,252,812",00158316,034310
신세계I&C,B+,"283,666,197,221",00219486,035510
한국가스공사,B+,"35,909,774,516,082",00261285,036460
SNT홀딩스,B+,"2,270,485,739,579",00225159,036530
LG헬로비전,B+,"1,472,721,455,548",00222532,037560
하나투어,B+,"703,260,915,174",00269940,039130
코스맥스비티아이,B+,"881,564,731,266",00219574,044820
동원F&B,B+,"1,683,934,672,593",00340917,049770
LG화학,B+,"41,388,894,000,000",00356361,051910
한전기술,B+,"700,291,402,115",00159209,052690
테이팩스,B+,"162,605,488,159",00256955,055490
세아홀딩스,B+,"5,084,932,952,179",00377610,058650
종근당바이오,B+,"283,462,939,665",00390055,063160
셀트리온,B+,"5,020,121,254,019",00413046,068270
농심홀딩스,B+,"1,248,142,699,873",00459871,072710
금호타이어,B+,"3,846,201,934,226",00481454,073240
STX엔진,B+,"809,261,000,000",00480455,077970
에이블씨엔씨,B+,"254,779,586,617",00400857,078520
HDC현대EP,B+,"524,916,604,534",00357935,089470
제주항공,B+,"1,168,566,447,146",00555874,089590
후성,B+,"540,108,378,922",00595191,093370
효성 ITX,B+,"161,698,569,724",00414850,094280
웅진씽크빅,B+,"666,079,005,348",00628189,095720
동성케미컬,B+,"797,944,146,723",00679314,102260
풍산,B+,"2,552,025,017,070",00684714,103140
영원무역,B+,"3,038,285,285,380",00776820,111770
GKL,B+,"708,445,969,367",00557508,114090
한전산업,B+,"163,588,747,240",00194947,130660
선진,B+,"1,186,580,361,513",00855093,136490
코오롱플라스틱,B+,"317,913,470,328",00241005,138490
한국타이어앤테크놀로지,B+,"10,658,547,888,637",00937324,161390
한국콜마,B+,"2,489,599,417,108",00939331,161890
동일고무벨트,B+,"275,779,245,523",00939687,163560
엔에이치엔,B+,"2,550,930,608,901",00983271,181710
아세아시멘트,B+,"1,901,368,870,442",00990165,183190
경보제약,B+,"253,239,176,532",00101664,214390
잇츠한불,B+,"508,119,345,418",00911955,226320
현대코퍼레이션홀딩스,B+,"216,918,775,575",01108099,227840
두산밥캣,B+,"6,960,607,794,000",01032486,241560
화승엔터프라이즈,B+,"1,154,956,254,214",01128613,241590
넷마블,B+,"8,223,428,815,673",00904672,251270
진에어,B+,"556,768,749,663",00653024,272450
삼양패키징,B+,"564,505,000,000",01060814,272550
한일시멘트,B+,"2,399,662,741,644",01319808,300720
세아제강,B+,"1,052,052,851,837",01325979,306200
두산퓨얼셀,B+,"790,187,905,982",01412725,336260
동진쎄미켐,B+,"960,791,826,390",00118804,005290
NICE평가정보,B+,"368,803,630,914",00158325,030190
주성엔지니어링,B+,"549,203,147,652",00252135,036930
지니뮤직,B+,"250,537,976,853",00223762,043610
서울반도체,B+,"1,330,157,955,644",00130763,046890
안랩,B+,"280,831,434,651",00298270,053800
에스에프에이,B+,"1,799,395,626,291",00358271,056190
엘앤에프,B+,"466,217,399,194",00398701,066970
아이티엠반도체,B+,"436,355,434,000",00579980,084850
에코프로,B+,"1,283,164,844,739",00536541,086520
나스미디어,B+,"422,038,863,816",00486097,089600
비에이치,B+,"561,120,408,493",00447609,090460
셀트리온헬스케어,B+,"3,739,698,458,262",00554024,091990
고영,B+,"302,574,460,896",00579999,098460
LX세미콘,B+,"750,602,338,873",00525934,108320
하림,B+,"806,508,850,011",00857727,136480
케어젠,B+,"216,556,145,567",00549891,214370
원익IPS,B+,"1,099,641,462,981",01135941,240810
매일유업,B+,"744,816,661,761",01234507,267980
동화약품,B,"433,807,800,192",00119195,000020
유유제약,B,"154,901,006,984",00144818,000220
대원강업,B,"1,017,866,946,915",00111847,000430
조선내화,B,"1,246,277,915,624",00148984,000480
삼일제약,B,"191,660,926,981",00128032,000520
CS홀딩스,B,"323,725,567,844",00149026,000590
천일고속,B,"67,019,917,354",00151395,000650
화천기공,B,"378,376,164,732",00166519,000850
강남제비스코,B,"712,155,828,911",00100939,000860
