corp_code,영업이익,year
131197,"173,336,109",2022
121534,"21,924,889,178",2022
159500,"5,425,716,889",2022
112022,"-7,401,035,956",2022
181943,"8,227,979,769",2022
145464,"13,690,371,011",2022
107987,"62,590,109,179",2022
133706,"3,503,433,098",2022
209780,"101,194,811,532",2022
231372,"-118,719,752,733",2022
158963,"48,213,162,470",2022
134510,"32,074,360,267",2022
121543,"15,643,137,742",2022
130772,"185,603,490,383",2022
129642,"14,080,989,932",2022
369833,"848,339,698",2022
303217,"22,612,660,782",2022
159218,"130,553,250,828",2022
353878,"11,548,783,311",2022
398792,"111,925,067,671",2022
428729,"9,340,386,983",2022
435312,"16,870,680,824",2022
210856,"-704,501,535",2022
406046,"11,342,142,575",2022
414601,"40,913,192,825",2022
454946,"17,219,652,079",2022
113225,"215,379,902,495",2022
540641,"-11,216,972,073",2022
409672,"1,957,768,075",2022
573579,"5,734,166,110",2022
671376,"-103,929,570,861",2022
589127,"18,028,423,745",2022
587466,"55,528,882,649",2022
117726,"7,437,519,525",2022
593032,"185,160,686,386",2022
365387,"75,447,386,515",2022
632304,"103,257,348,706",2022
520887,"3,546,451,200",2022
648721,"3,561,445,020",2022
428321,"23,170,927,168",2022
145598,"9,633,099,174",2022
687711,"121,498,017,095",2022
728638,"179,585,878,967",2022
173944,"11,894,433,807",2022
753643,"-4,811,604,319",2022
670340,"42,121,940,314",2022
787376,"938,738,843",2022
360142,"56,299,267,838",2022
823429,"-23,014,169",2022
815369,"7,087,029,001",2022
151368,"35,409,145,996",2022
661847,"719,072,177",2022
119140,"-66,724,812,599",2022
526599,"125,702,600,219",2022
110608,"35,774,891,408",2022
1010110,"183,857,429,569",2022
132354,"87,879,677,725",2022
1059605,"26,967,977,466",2022
1093007,"27,451,816,095",2022
225706,"27,089,253,524",2022
1167056,"11,131,354,481",2022
1205329,"17,588,318,271",2022
1261893,"60,336,560,528",2022
1267684,"119,943,993,497",2022
248974,"31,170,755,065",2022
1310269,"116,379,700,606",2022
367844,"198,896,062,736",2022
1412822,"-45,208,869,606",2022
128111,"6,356,472,443",2022
141671,"14,174,513,859",2022
216647,"104,998,891,405",2022
238782,"776,695,601,049",2022
226352,"-44,987,885,991",2022
171265,"10,412,544,286",2022
258689,"96,631,539,970",2022
247975,"73,497,317,893",2022
239639,"71,098,446,532",2022
260930,"91,007,611,263",2022
187415,"-3,803,782,875",2022
280688,"12,086,916,454",2022
369170,"26,073,737,309",2022
306454,"15,710,866,017",2022
353610,"-2,504,137,009",2022
228350,"-2,774,529,103",2022
225742,"-6,606,262,413",2022
364467,"-8,667,349,352",2022
378628,"32,517,326,322",2022
245472,"127,026,641,350",2022
399694,"82,418,820,782",2022
405320,"83,005,140,896",2022
104573,"-11,073,626,962",2022
476498,"-16,709,096,685",2022
177816,"11,970,916,445",2022
531014,"53,640,954,367",2022
359395,"-52,579,212,448",2022
490151,"56,802,242,235",2022
524421,"55,898,658,621",2022
525642,"1,629,286,397",2022
444329,"-84,938,285,329",2022
613318,"46,639,449,138",2022
612294,"77,765,165,313",2022
888347,"101,378,493,271",2022
366137,"356,188,977,348",2022
1032404,"61,123,995,164",2022
1061327,"68,876,207,458",2022
970453,"65,916,151,831",2022
1067516,"148,679,447,295",2022
819073,"19,632,377,505",2022
1159853,"40,866,895,874",2022
1160363,"380,676,718,075",2022
1168684,"65,219,473,466",2022
1152470,"16,378,240,631",2022
1237540,"97,114,300,759",2022
1236532,"2,566,135,736",2022
897752,"56,473,078,225",2022
1256864,"907,999,453",2022
112378,"-6,234,392,973",2022
