corp_code,부채총계,year,영업이익,법인세차감전 순이익
113544,"122,779,864,954",2022,"6,382,961,691","23,763,677,403"
107598,"164,307,809,198",2022,"-86,806,775,040","-97,220,020,759"
109718,"564,420,178,134",2022,"97,652,234,741","85,136,003,481"
157991,"183,328,538,761",2022,"17,997,729,590","13,889,493,769"
108241,"719,378,356,883",2022,"112,172,856,716","158,840,599,107"
127802,"233,318,683,388",2022,"20,638,429,209","19,693,674,216"
130879,"42,534,581,355",2022,"1,310,279,754","841,772,580"
128555,"3,482,673,623,260",2022,"91,236,419,550","93,637,749,746"
118266,"465,469,810,224",2022,"12,110,321,241","9,110,890,625"
132804,"791,369,380,223",2022,"1,833,600,738","-26,120,978,097"
125150,"2,187,874,937,878",2022,"209,400,218,379","198,427,676,801"
108135,"1,625,017,215,651",2022,"71,159,596,357","29,629,471,910"
125530,"906,290,707,171",2022,"89,513,471,496","70,782,876,250"
167192,"2,595,712,644,048",2022,"-22,542,977,056","-3,114,497,630"
125521,"1,225,627,791,292",2022,"197,915,409,993","215,698,969,074"
126380,"93,674,903,000,000",2022,"43,376,630,000,000","46,440,474,000,000"
166227,"1,119,839,945,881",2022,"73,297,899,437","20,390,231,128"
129679,"958,895,150,180",2022,"81,263,665,843","85,727,859,933"
164672,"285,245,441,672",2022,"35,168,293,521","44,443,694,696"
125080,"3,721,996,781,791",2022,"-21,822,473,627","-120,183,179,682"
124799,"523,375,978,943",2022,"55,173,554,439","76,973,016,074"
107613,"323,686,082,261",2022,"116,618,143,622","107,829,664,836"
126487,"706,086,461,437",2022,"486,231,560,356","580,405,942,635"
163114,"1,319,636,711,049",2022,"188,572,721,382","157,391,284,290"
140946,"171,990,567,169",2022,"36,349,586,827","30,450,141,909"
153861,"3,582,445,702,772",2022,"91,547,554,846","76,027,336,617"
101488,"500,314,843,682",2022,"59,770,841,498","72,724,310,765"
126478,"10,919,760,587,958",2022,"-854,420,950,816","-554,711,265,360"
166315,"647,757,403,677",2022,"87,362,958,755","95,109,032,046"
115977,"2,131,652,333,747",2022,"345,076,330,100","285,969,297,618"
106368,"2,065,857,046,026",2022,"1,147,745,512,728","1,251,576,092,191"
102618,"169,633,025,975",2022,"-10,631,134,052","-29,426,360,818"
143527,"136,105,199,735",2022,"14,709,420,695","16,108,052,906"
164636,"6,759,502,438,861",2022,"158,535,478,442","133,502,475,796"
166272,"926,620,108,676",2022,"43,168,338,185","31,765,330,189"
159786,"587,712,511,772",2022,"147,870,643,696","141,266,703,137"
105101,"971,855,140,000",2022,"313,224,000","-6,857,913,000"
159193,"192,804,738,000,000",2022,"-32,655,153,000,000","-33,843,619,000,000"
130684,"818,373,686,144",2022,"3,324,640,638","22,506,025,659"
165583,"2,829,299,481,251",2022,"278,730,692,433","193,801,839,282"
159795,"181,165,801,047",2022,"24,798,059,067","28,900,101,934"
161125,"6,728,917,210,972",2022,"256,590,023,453","97,168,085,854"
133991,"340,157,547,667",2022,"28,815,275,301","23,259,060,558"
108913,"262,333,648,796",2022,"-49,959,384,890","-107,697,076,412"
176914,"44,071,595,509,884",2022,"718,687,487,393","744,926,029,245"
203290,"418,764,073,414",2022,"33,000,195,009","36,396,108,049"
122737,"3,056,338,000,000",2022,"789,618,000,000","687,967,000,000"
148276,"1,530,015,562,245",2022,"311,412,761,580","300,435,028,812"
105873,"24,366,792,000,000",2022,"-2,085,047,000,000","-3,433,370,000,000"
217947,"751,891,779,268",2022,"-12,042,239,735","-17,714,387,020"
158316,"2,058,288,743,565",2022,"145,242,618,665","107,785,938,003"
219486,"118,998,739,571",2022,"37,528,514,949","107,260,459,434"
261285,"52,014,242,784,013",2022,"2,463,421,952,045","1,945,247,668,119"
225159,"742,131,375,499",2022,"144,692,982,304","166,935,921,690"
222532,"802,491,626,000",2022,"53,800,859,859","-13,650,566,674"
219574,"610,374,632,435",2022,"3,400,294,229","-7,980,653,661"
340917,"1,187,905,520,148",2022,"128,699,824,345","118,562,121,878"
356361,"30,492,696,000,000",2022,"2,995,698,000,000","2,812,551,000,000"
159209,"273,089,488,378",2022,"13,940,025,562","25,735,584,512"
256955,"49,617,919,916",2022,"25,451,378,469","23,699,004,663"
377610,"2,915,366,415,560",2022,"196,126,337,931","207,816,045,297"
390055,"164,791,529,446",2022,"-14,810,343,537","-18,589,860,783"
413046,"1,617,448,041,462",2022,"647,198,174,586","626,173,376,626"
459871,"311,863,433,252",2022,"52,812,907,521","48,517,368,798"
481454,"3,450,429,792,209",2022,"23,135,670,517","-84,043,708,970"
480455,"593,143,000,000",2022,"-8,816,000,000","-28,410,000,000"
400857,"79,356,396,676",2022,"9,975,863,944","6,338,112,513"
357935,"289,863,741,271",2022,"20,387,199,874","19,184,280,925"
555874,"1,357,023,834,316",2022,"-177,502,073,624","-217,242,937,743"
595191,"518,459,264,841",2022,"105,370,138,192","133,421,841,827"
414850,"111,070,179,540",2022,"22,323,153,949","19,589,651,370"
628189,"425,863,102,369",2022,"27,552,372,229","7,316,423,153"
679314,"410,505,252,005",2022,"55,370,343,076","55,772,698,025"
684714,"1,553,056,946,285",2022,"231,619,553,412","219,757,501,334"
776820,"1,399,319,640,332",2022,"823,027,257,046","881,755,852,631"
557508,"227,057,758,258",2022,"-13,917,278,200","-25,055,610,545"
194947,"61,835,339,210",2022,"18,651,295,433","21,105,704,248"
855093,"892,994,227,026",2022,"70,603,246,898","41,638,288,840"
241005,"131,310,107,999",2022,"46,041,896,346","45,082,747,593"
937324,"3,705,654,911,026",2022,"705,818,089,039","858,353,826,334"
