회사명,corp_code,stock_code,연도,ESG,자산총계,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름,자산총계(t-1),매출액(t-1)
애경산업,00139454,018250,2022,A,482639615354.0,123665920018.0,39038794156.0,22750105839.0,17552690980.0,49.1,34.5,21.428571428571427,63.35,838.0,56.0,431716551282.5203,610410753107.0,33900025345.0,431492645030.0,573923184961.0
삼성에스디에스,00126186,018260,2022,A,11952424889489.0,3485454954575.0,916074023314.0,1132080207483.0,712748558757.0,22.51,30.37,57.14285714285714,56.77,3778.0,72.0,10344562591463.414,17234749537662.0,1289793206812.0,10517432175247.0,13630002438924.0
SK가스,00144164,018670,2022,A,5831776891571.0,3490881745324.0,390470990382.0,355031851860.0,115721369373.0,22.7,18.4,11.428571428571429,72.35,562.0,52.0,1092170497365.8536,8066169118262.0,140057194054.0,5121535471833.0,6494513185952.0
한섬,00188089,020000,2022,B+,1684715498594.0,348223076669.0,168315660882.0,161773696909.0,92894175196.0,13.4,11.5,42.85714285714285,34.64,429.0,94.0,776185414634.1464,1542221683428.0,67223508983.0,1557084757896.0,1387401660671.0
코웨이,00170558,021240,2022,B+,4365074875331.0,2053106158533.0,677378551681.0,683308004068.0,195372523885.0,20.6,19.5,62.5,25.11,6305.0,137.0,4720745628545.122,3856132895084.0,164458234709.0,3800627982540.0,3664259556788.0
롯데쇼핑,00120526,023530,2022,A,31703575873070.0,20668459087068.0,386225594610.0,-567342307033.0,253944751840.0,,,55.55555555555556,61.18,20668.0,55.0,2618158773731.7075,15476035656554.0,1627838230821.0,33426533819002.0,15573550042665.0
한솔홈데코,00203582,025750,2022,B,319496520639.0,166074493275.0,2714713037.0,-6157071692.0,4641869101.0,,29.51,28.57142857142857,23.46,298.0,5.0,114983497654.49594,283414199451.0,3870232422.0,314661261530.0,263249688066.0
BGF,00219097,027410,2022,B+,1938013970903.0,201490551514.0,61203792653.0,38895385596.0,177739416335.0,44.6,16.1,40.0,69.70,50.0,6.0,428159493497.37805,434997439995.0,207458308.0,1981622039251.0,150187760830.0
삼성엔지니어링,00126308,028050,2022,A,7848723222714.0,5271682815759.0,702942994188.0,715715164329.0,75000951895.0,,,66.66666666666666,20.60,1109.0,1543.0,4600382926829.269,10054344625186.0,576706460947.0,6058722396874.0,7486696121177.0
삼성물산,00149655,028260,2022,A,58981492466950.0,27017371086433.0,2528524413589.0,3334546525257.0,6667163509633.0,18.4,42.4,55.55555555555556,33.45,3691.0,499.0,21455168691306.91,43161653399535.0,2618286420045.0,55245423114466.0,34455181882704.0
신세계인터내셔날,00234412,031430,2022,B+,1278681814634.0,445005786973.0,115270511523.0,136726798870.0,70127219041.0,15.03,12.96,15.789473684210526,54.05,1218.0,119.0,1027652073170.7316,1553877316519.0,109993406077.0,1159127578385.0,1450778572821.0
신세계푸드,00274933,031440,2022,B,903927240057.0,611858315900.0,20577349768.0,-4859422816.0,48343308223.0,-53.9,120.2,50.0,55.55,3766.0,127.0,244632904747.96747,1411305169297.0,20931757528.0,879467973979.0,1329251660897.0
LG유플러스,00231363,032640,2022,A,19774800000000.0,11325133000000.0,1081260000000.0,856812000000.0,2341729.0,42.14,33.35,5.128205128205128,37.67,10263.0,170.0,5536800007217.886,13905990000000.0,3504980000000.0,19370515000000.0,13851135000000.0
케이티앤지,00244455,033780,2022,A,12301715783797.0,2943135752405.0,1267649967727.0,1429519571832.0,167851437108.0,57.2,58.9,11.76470588235294,8.51,437.0,312.0,11640394587107.316,5851406367817.0,887886606991.0,11637271194200.0,5228351596536.0
강원랜드,00255619,035250,2022,A,4167752670696.0,752374769957.0,217565214200.0,167851826370.0,2761161108.0,61.4,,69.23076923076923,36.27,2344.0,953.0,5481051248780.488,1270685819109.0,420172245612.0,3827273463677.0,788432829925.0
