회사명,corp_code,stock_code,연도,ESG,자산총계,자산총계(t-1),매출액,매출액(t-1),부채총계,EBITDA,EBITDA(t-1),무형자산,현금 배당 성향,현금 배당 성향(t-1),사외이사 비율,최대주주지분율,영업활동 현금흐름,정규직 수,정규직 수(t-1),비정규직 수,비정규직 수(t-1)
현대제철,00145880,004020,2022,A,36800955829773.0,37042298365641.0,27340601237802.0,22849920977857.0,17672412852352.0,1348558027452.0,2149117231890.0,1328067733506.0,12.9,9.0,55.55555555555556,35.97,2179616640426.0,306.0,255.0,385.0,410.0
한솔홀딩스,00171636,004150,2022,A,723295784000.0,653696785000.0,467211080000.0,413644137000.0,125962865000.0,57651446000.0,29298390000.0,17531752000.0,10.5,23.3,27.27272727272727,30.28,43422778000.0,40.0,42.0,2.0,1.0
신세계,00136378,004170,2022,A,14348412322688.0,13644510517083.0,7812755198909.0,6316435934254.0,8096632950057.0,521874825260.0,517574567042.0,620528799164.0,9.08,9.62,57.14285714285714,28.57,903136486956.0,830.0,800.0,5.0,3.0
현대비앤지스틸,00125743,004560,2022,C,857843841402.0,768751882611.0,1281157155278.0,855704014920.0,333016274702.0,33048654435.0,96862258621.0,27577866622.0,5.85,2.18,30.0,46.1,-49052610344.0,482.0,480.0,26.0,7.0
한솔테크닉스,00157399,004710,2022,B+,1071921900693.0,788670352792.0,1647391648302.0,1490620987769.0,631895650677.0,36348453753.0,-6570564868.0,156143039888.0,0.96,,20.0,22.42,66408680650.0,578.0,582.0,32.0,32.0
효성,00117188,004800,2022,B+,5267284720508.0,5255421959967.0,3719325523137.0,3536522769098.0,2369980096744.0,20858603953.0,636490109238.0,66625895758.0,572.5,29.7,11.76470588235294,55.17,168209187483.0,1210.0,1240.0,100.0,96.0
롯데지주,00120562,004990,2022,A,22175416666050.0,19921883103681.0,14111852309175.0,9924864014193.0,12409157931313.0,499860555981.0,69499112210.0,1097145210930.0,62.9,34.8,11.11111111111111,41.7,904140865036.0,281.0,188.0,13.0,5.0
빙그레,00124726,005180,2022,A,769266587599.0,760245280571.0,1267685822673.0,1147435118625.0,193497612928.0,36724028656.0,-11799483856.0,57227486327.0,51.6,,12.5,40.89,-11243839111.0,343.0,353.0,211.0,183.0
롯데칠성음료,00120571,005300,2022,B+,3695935640310.0,3596830123178.0,2841747049867.0,2506093270200.0,2283769460026.0,169386857154.0,174970080587.0,97987983130.0,25.8,22.0,11.627906976744184,67.50,268333994992.0,960.0,1010.0,661.0,427.0
현대자동차,00164742,005380,2022,B+,255742462000000.0,233946415000000.0,142527535000000.0,117610626000000.0,164845917000000.0,10947943000000.0,7959562000000.0,6102377.0,24.9,26.3,54.54545454545454,29.38,10627311000000.0,64840.0,66002.0,7849.0,5980.0
SK디스커버리,00131832,006120,2022,A,11780098492498.0,6881873214685.0,8717115148765.0,6614328160700.0,5826776624464.0,539051827627.0,364742064220.0,873009223750.0,7.9,14.0,15.789473684210526,47.48,82330270613.0,51.0,29.0,16.0,14.0
LS,00105952,006260,2022,C,16813978000000.0,12625931000000.0,17491338000000.0,12829274000000.0,11259315000000.0,657920000000.0,391921000000.0,633146.0,9.46,14.49,25.0,33.23,467114000000.0,80.0,70.0,2.0,4.0
GS건설,00120030,006360,2022,A,16946616696898.0,15183727264768.0,12299196214752.0,9036575422803.0,11590413888307.0,664897622799.0,657929791442.0,888334065674.0,32.5,27.0,8.0,23.71,-7296047422.0,2259.0,2434.0,561.0,1488.0
삼성SDI,00126362,006400,2022,A,30257525171127.0,25833192996936.0,20124069515854.0,13553220248796.0,13040023014999.0,2652275388730.0,1663335322229.0,814931162728.0,3.5,5.7,57.14285714285714,20.54,2641096163726.0,400.0,380.0,935.0,928.0
GS리테일,00140177,007070,2022,A,9832423124845.0,9455972982478.0,11226428523558.0,9690659322385.0,5412417744683.0,75063718353.0,915289689988.0,255084775192.0,108.7,15.0,57.14285714285714,57.90,712510440356.0,3413.0,3449.0,1230.0,1139.0
오뚜기,00141529,007310,2022,C,3569760859068.0,2605839008802.0,3183314853660.0,2739036859209.0,1622240967893.0,283520143943.0,162900876905.0,72349255656.0,11.27,21.02,33.33333333333333,50.01,93291314126.0,3073.0,2976.0,49.0,59.0
대덕,00109189,008060,2022,B+,1903351069081.0,1723958191276.0,1661906969216.0,1371708882418.0,419083389342.0,187799491185.0,69763258655.0,31292732238.0,72.9,-453.4,16.666666666666664,43.37,5524446874.0,13.0,16.0,0.0,0.0
호텔신라,00165680,008770,2022,A,2938544987435.0,2656449911686.0,4922008727369.0,3779129065561.0,2398761037870.0,-59647312581.0,47916842855.0,35308105036.0,-15.17,28.12,18.181818181818183,17.00,220460436820.0,1642.0,1835.0,431.0,450.0
한미사이언스,00161426,008930,2022,B+,1109690934182.0,949894435974.0,1046054210838.0,950164817343.0,384942964397.0,73179718929.0,49122187846.0,19126765953.0,19.3,30.7,15.789473684210526,64.98,9451693037.0,419.0,91.0,9.0,1.0
삼성전기,00126371,009150,2022,A,10997170898641.0,9941374038447.0,9424551868027.0,9675036127726.0,3303686219356.0,1186828087730.0,1491308954867.0,150053392512.0,16.2,17.8,57.14285714285714,23.85,1575355826731.0,1549.0,2519.0,830.0,544.0
무림페이퍼,00136086,009200,2022,B,2429133745988.0,2284417094845.0,1399139266935.0,1055273254820.0,1739726817209.0,41592516874.0,3035497646.0,8588477863.0,13.7,,18.75,54.06,41882935462.0,415.0,455.0,0.0,21.0
한샘,00161693,009240,2022,A,1099679540571.0,1246352553431.0,2000906065724.0,2231220949302.0,654251595301.0,-83461021812.0,83345802435.0,24265356719.0,,47.2,50.0,0.52,-21278605775.0,2174.0,2491.0,41.0,49.0
무림P&P,00119007,009580,2022,B+,1604057802775.0,1483591838656.0,774103601234.0,613699105829.0,941368622014.0,54964533741.0,25987829306.0,2071392165.0,20.8,41.9,16.666666666666664,66.97,51495368399.0,693.0,682.0,3.0,2.0
한화솔루션,00162461,009830,2022,B,23831697412977.0,20007572194182.0,13653948104906.0,10725192384822.0,13934785853643.0,569238863544.0,855338282753.0,37913714177.0,,,4.580152671755725,36.67,115716723309.0,1794.0,2087.0,194.0,183.0
영원무역홀딩스,00140964,009970,2022,C,5490219711184.0,4325576166733.0,4533879205529.0,3240513827424.0,1503556312790.0,1083402103654.0,606159339416.0,183062884234.0,8.0,10.5,11.11111111111111,46.25,519228688003.0,39.0,41.0,8.0,9.0
OCI,00148896,010060,2022,A,6745534254000.0,5704061113000.0,4671316051000.0,3243996752000.0,2734136888000.0,1001629603000.0,611952710000.0,35921134.0,6.69,7.36,57.14285714285714,22.24,566649863000.0,1691.0,1592.0,90.0,134.0
엘에스일렉트릭,00105855,010120,2022,A,3322804977898.0,2796731557614.0,3377070215838.0,2668264980253.0,1773513972232.0,126966694511.0,110749601994.0,86299342611.0,35.76,34.61,12.12121212121212,48.25,-145446470458.0,1349.0,1167.0,139.0,129.0
한솔피엔에스,00103626,010420,2022,B,134944512348.0,109710673301.0,314246057568.0,262943327014.0,83843135370.0,2870110705.0,5432072370.0,37913714177.0,27.2,14.8,25.0,46.07,16724724090.0,262.0,215.0,1.0,2.0
현대미포조선,00164609,010620,2022,B+,4748245499000.0,3878320283000.0,3716860942000.0,2887212251000.0,2572981743000.0,-63247650000.0,-209773787000.0,8876191.0,,,10.344827586206897,43.00,208406771000.0,56.0,50.0,66.0,50.0
LG이노텍,00105961,011070,2022,A,9793617826430.0,7741352841297.0,19589409483381.0,14945609219058.0,5527824867091.0,1135062357037.0,1193179599822.0,204486013967.0,10.0,8.0,8.695652173913043,40.79,1514999766762.0,2354.0,2191.0,4751.0,4416.0
롯데케미칼,00165413,011170,2022,A,26784587810580.0,22855160814019.0,22276082763692.0,18120462422756.0,9520345523797.0,-392619240018.0,1887483719887.0,877896301156.0,427.63,20.12,5.555555555555555,54.92,-167465442693.0,734.0,697.0,154.0,150.0
HMM,00164645,011200,2022,A,25973455000000.0,17876100000000.0,18582770000000.0,13794148000000.0,5285543000000.0,10183729000000.0,5327233000000.0,44210.0,5.8,5.5,9.090909090909092,20.69,11318868000000.0,1677.0,1558.0,108.0,120.0
현대위아,00106623,011210,2022,A,7546451000000.0,7749507000000.0,8207614000000.0,7527739000000.0,3812800000000.0,86063000000.0,100720000000.0,109261.0,28.4,29.8,62.5,40.75,423981000000.0,2833.0,2568.0,84.0,83.0
현대코퍼레이션,00164812,011760,2022,B,1831301801553.0,1707383175608.0,6126968751169.0,3782497523034.0,1394707519478.0,90537641434.0,56220688847.0,9750486134.0,9.16,19.1,14.285714285714285,24.31,386453058403.0,213.0,205.0,11.0,8.0
SKC,00139889,011790,2022,A,6393092564908.0,6180132503610.0,3138910077125.0,2264207086420.0,4151241803700.0,159297081484.0,393059402657.0,1523593341383.0,-54.7,17.4,19.047619047619047,40.90,-147158687779.0,168.0,747.0,9.0,6.0
현대모비스,00164788,012330,2022,A,55406698000000.0,51482537000000.0,51906293000000.0,41702184000000.0,17599066000000.0,3362612000000.0,3194542000000.0,965065.0,14.8,15.5,5.747126436781609,31.38,2154062000000.0,11101,10383,531.0,452.0
한화에어로스페이스,00126566,012450,2022,B+,15157301978809.0,11045830630560.0,6539605817572.0,5541389141271.0,11233518424948.0,174616406341.0,289364425275.0,2120601843523.0,25.18,14.01,5.0,33.98,1524327091276.0,235.0,108.0,161.0,35.0
에스원,00158501,012750,2022,B+,2075658595502.0,1972972502257.0,2467960276573.0,2312489059004.0,552669332935.0,200760270160.0,170743106951.0,405722224361.0,56.0,65.5,5.555555555555555,25.65,277448190365.0,938.0,480.0,590.0,283.0
한솔케미칼,00140955,014680,2022,B,1253310602636.0,1197174769029.0,885470791861.0,768688180555.0,400814014226.0,194237859330.0,208702123405.0,37913714177.0,13.7,15.8,18.75,15.02,173619763063.0,558.0,528.0,94.0,98.0
SK텔레콤,00159023,017670,2022,A,31308262000000.0,30911277000000.0,17304973000000.0,16748585000000.0,19153066000000.0,1236152000000.0,1718191000000.0,3324910.0,79.3,29.8,62.5,30.02,5159317000000.0,929.0,873.0,270.0,297.0
현대엘리베이터,00164724,017800,2022,B,3014471063421.0,2987393730479.0,2129301101267.0,1973426415772.0,1847719039348.0,110105864213.0,160509325060.0,92025543651.0,25.4,28.9,57.14285714285714,26.50,12288109953.0,179.0,181.0,127.0,129.0
애경산업,00139454,018250,2022,A,482639615354.0,431492645030.0,610410753107.0,573923184961.0,123665920018.0,22750105839.0,20451724766.0,17552690980.0,49.1,34.5,21.428571428571427,63.35,33900025345.0,838.0,806.0,56.0,54.0
삼성에스디에스,00126186,018260,2022,A,11952424889489.0,10517432175247.0,17234749537662.0,13630002438924.0,3485454954575.0,1132080207483.0,857541761347.0,712748558757.0,22.51,30.37,57.14285714285714,56.77,1289793206812.0,3778.0,4605.0,72.0,74.0
SK가스,00144164,018670,2022,A,5831776891571.0,5121535471833.0,8066169118262.0,6494513185952.0,3490881745324.0,355031851860.0,300712114361.0,115721369373.0,22.7,18.4,11.428571428571429,72.35,140057194054.0,562.0,531.0,52.0,51.0
한섬,00188089,020000,2022,B+,1684715498594.0,1557084757896.0,1542221683428.0,1387401660671.0,348223076669.0,161773696909.0,154631491902.0,92894175196.0,13.4,11.5,42.85714285714285,34.64,67223508983.0,429.0,420.0,94.0,116.0
코웨이,00170558,021240,2022,B+,4365074875331.0,3800627982540.0,3856132895084.0,3664259556788.0,2053106158533.0,683308004068.0,658552414204.0,195372523885.0,20.6,19.5,62.5,25.11,164458234709.0,6305.0,6446.0,137.0,141.0
롯데쇼핑,00120526,023530,2022,A,31703575873070.0,33426533819002.0,15476035656554.0,15573550042665.0,20668459087068.0,-567342307033.0,-638240714552.0,253944751840.0,,,55.55555555555556,61.18,1627838230821.0,20668.0,20931.0,55.0,111.0
한솔홈데코,00203582,025750,2022,B,319496520639.0,314661261530.0,283414199451.0,263249688066.0,166074493275.0,-6157071692.0,7905612254.0,4641869101.0,,29.51,28.57142857142857,23.46,3870232422.0,298.0,300.0,5.0,5.0
BGF,00219097,027410,2022,B+,1938013970903.0,1981622039251.0,434997439995.0,150187760830.0,201490551514.0,38895385596.0,43537431399.0,177739416335.0,44.6,16.1,40.0,69.70,207458308.0,50.0,111.0,6.0,6.0
삼성엔지니어링,00126308,028050,2022,A,7848723222714.0,6058722396874.0,10054344625186.0,7486696121177.0,5271682815759.0,715715164329.0,529538450784.0,75000951895.0,,,66.66666666666666,20.60,576706460947.0,1109.0,1061.0,1543.0,1259.0
삼성물산,00149655,028260,2022,A,58981492466950.0,55245423114466.0,43161653399535.0,34455181882704.0,27017371086433.0,3334546525257.0,2480491197710.0,6667163509633.0,18.4,42.4,55.55555555555556,33.45,2618286420045.0,3691.0,3675.0,499.0,2198.0
신세계인터내셔날,00234412,031430,2022,B+,1278681814634.0,1159127578385.0,1553877316519.0,1450778572821.0,445005786973.0,136726798870.0,105407715079.0,70127219041.0,15.03,12.96,15.789473684210526,54.05,109993406077.0,1218.0,1296.0,119.0,73.0
신세계푸드,00274933,031440,2022,B,903927240057.0,879467973979.0,1411305169297.0,1329251660897.0,611858315900.0,-4859422816.0,5210766401.0,48343308223.0,-53.9,120.2,50.0,55.55,20931757528.0,3766.0,3923.0,127.0,85.0
