회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름
현대비앤지스틸,00125743,004560,2022,C,"857,843,841,402","333,016,274,702","33,466,461,486","33,048,654,435",27577866622.0,5.85,2.18,30.0,46.1,482.0,26.0,216086717147.56097,1281157155278,-49052610344.0
한솔테크닉스,00157399,004710,2022,B+,"1,071,921,900,693","631,895,650,677","55,104,959,837","36,348,453,753",156143039888.0,0.96,,20.0,22.42,578.0,32.0,194246487985.69107,1647391648302,66408680650.0
효성,00117188,004800,2022,B+,"5,267,284,720,508","2,369,980,096,744","64,887,143,335","20,858,603,953",66625895758.0,572.5,29.7,11.76470588235294,55.17,1210.0,100.0,1664405404024.39,3719325523137,168209187483.0
롯데지주,00120562,004990,2022,A,"22,175,416,666,050","12,409,157,931,313","489,830,602,915","499,860,555,981",1097145210930.0,62.9,34.8,11.11111111111111,41.7,281.0,13.0,3567297872281.7075,14111852309175,904140865036.0
빙그레,00124726,005180,2022,A,"769,266,587,599","193,497,612,928","39,407,655,268","36,724,028,656",57227486327.0,51.6,,12.5,40.89,343.0,211.0,468638751734.1464,1267685822673,-11243839111.0
롯데칠성음료,00120571,005300,2022,B+,"3,695,935,640,310","2,283,769,460,026","222,858,437,341","169,386,857,154",97987983130.0,25.8,22.0,11.627906976744184,67.50,960.0,661.0,1521076892788.618,2841747049867,268333994992.0
현대자동차,00164742,005380,2022,B+,"255,742,462,000,000","164,845,917,000,000","9,819,769,000,000","10,947,943,000,000",6102377.0,24.9,26.3,54.54545454545454,29.38,64840.0,7849.0,38644844756493.91,142527535000000,10627311000000.0
SK디스커버리,00131832,006120,2022,A,"11,780,098,492,498","5,826,776,624,464","362,228,951,564","539,051,827,627",873009223750.0,7.9,14.0,15.789473684210526,47.48,51.0,16.0,699838514868.9025,8717115148765,82330270613.0
LS,00105952,006260,2022,C,"16,813,978,000,000","11,259,315,000,000","670,941,000,000","657,920,000,000",633146.0,9.46,14.49,25.0,33.23,80.0,2.0,1929172682926.829,17491338000000,467114000000.0
GS건설,00120030,006360,2022,A,"16,946,616,696,898","11,590,413,888,307","554,834,830,515","664,897,622,799",888334065674.0,32.5,27.0,8.0,23.71,2259.0,561.0,2849324384034.5527,12299196214752,-7296047422.0
