corp_code,부채총계,year
1060814,"281,487,000,000",2022
1319808,"885,820,287,173",2022
1325979,"636,127,562,772",2022
118804,"673,516,166,268",2022
158325,"139,446,697,557",2022
252135,"348,454,879,955",2022
223762,"158,930,776,532",2022
130763,"514,302,591,299",2022
298270,"85,667,243,409",2022
358271,"512,535,734,431",2022
398701,"1,738,602,594,287",2022
579980,"456,973,303,715",2022
536541,"2,824,001,949,335",2022
486097,"275,583,655,118",2022
447609,"429,340,136,571",2022
554024,"2,392,807,160,111",2022
579999,"86,511,583,085",2022
525934,"339,257,893,379",2022
857727,"608,732,162,785",2022
549891,"18,092,034,704",2022
1135941,"251,943,234,499",2022
1234507,"477,924,807,928",2022
119195,"82,463,208,091",2022
144818,"71,831,031,376",2022
111847,"412,406,943,010",2022
148984,"793,378,121,821",2022
128032,"230,880,901,101",2022
149026,"33,693,421,213",2022
151395,"28,229,905,515",2022
166519,"128,766,812,502",2022
100939,"278,945,532,072",2022
144252,"201,552,927,080",2022
134723,"440,215,219,986",2022
149947,"402,213,719,428",2022
113243,"399,078,814,703",2022
106395,"48,974,883,827",2022
122472,"193,923,293,147",2022
122579,"153,134,740,019",2022
113234,"681,747,544,000",2022
159740,"239,739,584,991",2022
152862,"3,322,537,563,034",2022
101433,"188,148,524,944",2022
127042,"40,424,121,033",2022
158112,"64,604,055,301",2022
138729,"230,662,239,691",2022
136457,"30,058,823,992",2022
174527,"389,175,292,526",2022
148443,"445,884,552,551",2022
117300,"298,677,336,481",2022
104722,"62,513,602,796",2022
127167,"112,174,817,744",2022
158149,"59,384,706,208",2022
165343,"132,475,114,237",2022
152880,"2,270,737,072,633",2022
132725,"33,383,212,096",2022
111810,"879,409,305,644",2022
118275,"111,206,586,935",2022
111999,"204,784,866,664",2022
163673,"1,629,209,000,000",2022
164706,"94,604,146,368",2022
133812,"277,495,007,259",2022
109806,"140,597,279,518",2022
129235,"103,072,772,485",2022
133858,"430,957,932,473",2022
113492,"419,699,356,872",2022
172936,"82,125,521,241",2022
148920,"216,375,249,483",2022
129989,"200,117,019,634",2022
