corp_name,2023esg,corp_code,stock_code
메가스터디교육,C,1074862,215200
RFHIC,D,1078178,218410
씨아이에스,C,1090471,222080
에코마케팅,C,1029394,230360
메드팩토,C,1336373,235980
셀리버리,D,1182444,268600
엘앤씨바이오,C,1181515,290650
나우IB,D,651017,293580
국보,D,104519,001140
비비안,D,107677,002070
흥아해운,B,167208,003280
진양산업,C,150439,003780
성안,D,132868,011300
세우글로벌,D,134176,013000
한국주강,D,159564,025890
이아이디,D,480950,093230
아시아나IDT,D,458234,267850
큐캐피탈,D,267942,016600
리더스 기술투자,D,110750,019570
메이슨캐피탈,D,136101,021880
아난티,C,161781,025980
상상인,D,306162,038540
씨젠,B+,788773,096530
덕산네오룩스,C,1061558,213420
