corp_code,직원 수,연도
00109824,237.0,2022
00126201,126.0,2022
00136402,15.0,2022
00109161,86.0,2022
00146296,77.0,2022
00104786,37.0,2022
00146454,648.0,2022
00115384,220.0,2022
00131939,193.0,2022
00157104,100.0,2022
00145446,209.0,2022
00107224,557.0,2022
00121570,64.0,2022
00146542,82.0,2022
00104999,182.0,2022
00138516,137.0,2022
00168401,228.0,2022
00117629,159.0,2022
00102140,18.0,2022
00111111,234.0,2022
00111689,245.0,2022
00163761,221.0,2022
00129271,473.0,2022
00128227,255.0,2022
00143262,134.0,2022
00160375,64.0,2022
00166500,267.0,2022
00148522,362.0,2022
00128980,339.0,2022
00118521,63.0,2022
00129280,109.0,2022
00153524,919.0,2022
00124027,29.0,2022
00129554,52.0,2022
00160861,201.0,2022
00162072,66.0,2022
00145437,42.0,2022
00141413,389.0,2022
00102113,549.0,2022
00112651,380.0,2022
00102432,1027.0,2022
00129420,157.0,2022
00156354,667.0,2022
00150633,175.0,2022
00129509,405.0,2022
00111458,340.0,2022
00105299,368.0,2022
00122481,277.0,2022
00132628,67.0,2022
00106881,178.0,2022
00134565,32.0,2022
00143314,280.0,2022
00108746,181.0,2022
00146649,12.0,2022
00135777,123.0,2022
00103662,187.0,2022
00135111,180.0,2022
00118008,564.0,2022
00138792,2.0,2022
00134316,189.0,2022
00191588,260.0,2022
00115065,155.0,2022
00103510,550.0,2022
00180795,373.0,2022
00121969,112.0,2022
00142865,191.0,2022
00177199,184.0,2022
00114154,654.0,2022
00191472,332.0,2022
00157070,69.0,2022
00197759,111.0,2022
00136776,66.0,2022
00123781,46.0,2022
00144395,274.0,2022
00204208,487.0,2022
00178754,265.0,2022
00135795,301.0,2022
00118044,113.0,2022
00273615,4.0,2022
00186559,448.0,2022
00218575,108.0,2022
00193009,139.0,2022
00146861,798.0,2022
00125576,115.0,2022
00145862,185.0,2022
00122551,237.0,2022
00249247,108.0,2022
00161383,637.0,2022
00269241,91.0,2022
00347734,36.0,2022
00422895,255.0,2022
00423690,176.0,2022
00427483,513.0,2022
00357360,255.0,2022
00151298,159.0,2022
00365989,321.0,2022
00416654,201.0,2022
00469799,122.0,2022
00305668,281.0,2022
00415628,290.0,2022
00361488,179.0,2022
00508274,253.0,2022
00540605,460.0,2022
00172228,123.0,2022
00557933,139.0,2022
00442835,40.0,2022
00585219,197.0,2022
00112165,700.0,2022
00106614,437.0,2022
00441243,30.0,2022
00646732,4.0,2022
00652423,57.0,2022
00681142,215.0,2022
00683469,786.0,2022
00706715,14.0,2022
00226316,152.0,2022
00561866,473.0,2022
00797364,228.0,2022
00796994,125.0,2022
00828789,302.0,2022
00855163,203.0,2022
00852087,167.0,2022
00415646,461.0,2022
00332927,124.0,2022
00105606,470.0,2022
00816544,131.0,2022
01234297,475.0,2022
01236897,973.0,2022
01262458,516.0,2022
00651901,1202.0,2022
00128546,384.0,2022
00130383,302.0,2022
00117276,92.0,2022
00137915,228.0,2022
00141246,771.0,2022
00105466,914.0,2022
00184667,679.0,2022
00173032,833.0,2022
00197476,86.0,2022
00158219,137.0,2022
00155948,652.0,2022
00227333,1074.0,2022
00264547,222.0,2022
00301246,628.0,2022
00141389,223.0,2022
00265041,171.0,2022
00246417,632.0,2022
00263654,47.0,2022
00230425,135.0,2022
00405278,156.0,2022
00313649,66.0,2022
00369657,622.0,2022
00375931,374.0,2022
00523307,552.0,2022
00541349,711.0,2022
00525679,279.0,2022
00114808,1081.0,2022
00580199,603.0,2022
00556907,175.0,2022
00181299,475.0,2022
00545734,214.0,2022
00545929,114.0,2022
00411048,250.0,2022
00530185,517.0,2022
00693554,638.0,2022
00623661,489.0,2022
00808022,48.0,2022
00842619,131.0,2022
